Company,TypeName,OpSys,Processor,Inches,Display,IPS,Touchscreen,Resolution,X_res,Y_res,Ram,SSD,Hybrid_Storage,Gpu_Brand,Weight,Tier,Price,Pred_Price_TunedGB,TunedGB_Error,Pred_Price_UntunedGB,UntunedGB_Error_Value
Acer,2 in 1 Convertible,Chrome OS,Intel Celeron,11.6,Normal,1,1,1366x768,1366,768,4,0,0,Intel,1.25,Budget,20459.52,18885.991546476384,1573.5284535236133,18020.437194354083,2439.082805645914
Acer,2 in 1 Convertible,Windows 10,Intel Celeron,11.6,Full HD,1,1,1920x1080,1920,1080,4,0,0,Intel,1.25,Budget,18594.72,19326.653430542225,731.9334305422235,19051.58653605141,456.8665360514133
Acer,2 in 1 Convertible,Windows 10,Intel Core i5,13.3,Full HD,1,1,1920x1080,1920,1080,1,256,0,Intel,1.6,Mid-range,53226.72,45345.29752699587,7881.4224730041315,52118.10369112941,1108.616308870587
Acer,2 in 1 Convertible,Windows 10,Intel Core i5,13.3,Full HD,1,1,1920x1080,1920,1080,8,256,0,Intel,1.5,Budget,45128.16,47185.83090320192,2057.6709032019207,47354.22682477076,2226.066824770758
Acer,2 in 1 Convertible,Windows 10,Intel Core i5,13.3,Full HD,1,1,1920x1080,1920,1080,8,256,0,Intel,1.6,Budget,36709.92,43551.71261370019,6841.792613700192,43116.97681645823,6407.056816458229
Acer,2 in 1 Convertible,Windows 10,Intel Core i7,13.3,Full HD,1,1,1920x1080,1920,1080,8,256,0,Intel,1.6,Budget,42038.4528,49360.39031528178,7321.937515281781,47388.77176120672,5350.318961206722
Acer,2 in 1 Convertible,Windows 10,Intel Core i7,14.0,Full HD,1,1,1920x1080,1920,1080,8,256,0,Intel,1.2,Mid-range,61218.72,73055.99886353913,11837.278863539132,74354.31991597103,13135.599915971034
Acer,Gaming,Linux,Intel Core i5,15.6,Full HD,0,0,1920x1080,1920,1080,8,0,0,Nvidia,2.4,Budget,40146.48,41826.72666261223,1680.2466626122332,41150.85745664514,1004.3774566451466
Acer,Gaming,Windows 10,Intel Core i5,15.6,Full HD,0,0,1920x1080,1920,1080,16,256,0,Nvidia,2.5,Mid-range,69210.72,69721.74838379025,511.02838379025343,68394.64144398112,816.0785560188815
Acer,Gaming,Windows 10,Intel Core i5,15.6,Full HD,1,0,1920x1080,1920,1080,8,256,0,Nvidia,2.5,Budget,45074.88,49574.2703694682,4499.390369468201,50884.73641464098,5809.856414640984
Acer,Gaming,Windows 10,Intel Core i7,15.6,Full HD,1,0,1920x1080,1920,1080,8,8,0,Nvidia,2.7,Mid-range,67132.8,60264.97037047456,6867.829629525448,62466.40061364204,4666.399386357967
Acer,Gaming,Windows 10,Intel Core i7,17.3,Full HD,1,0,1920x1080,1920,1080,16,8,0,Nvidia,3.575,High-end,103096.8,107068.02287219527,3971.222872195285,115293.95290387837,12197.152903878348
Acer,Gaming,Windows 10,Intel Core i7,17.3,Full HD,1,0,1920x1080,1920,1080,16,256,0,Nvidia,3.575,High-end,130482.72,111991.97753983844,18490.742460161564,114138.6034484766,16344.116551523388
Acer,Netbook,Chrome OS,Intel Celeron,11.6,Normal,0,0,1366x768,1366,768,2,32,0,Intel,1.3,Budget,9270.72,9627.172576247587,356.4525762475896,9380.35481470584,109.63481470584156
Acer,Netbook,Chrome OS,Intel Celeron,11.6,Normal,1,0,1366x768,1366,768,4,0,0,Intel,1.25,Budget,15824.16,15334.980286183369,489.179713816633,15376.023790294725,448.136209705277
Acer,Netbook,Chrome OS,Intel Celeron,11.6,Normal,1,0,1366x768,1366,768,4,0,0,Intel,1.35,Budget,18914.4,15736.382239200191,3178.0177607998085,15897.945978437609,3016.4540215623947
Acer,Netbook,Windows 10,Intel Celeron,11.6,Normal,0,0,1366x768,1366,768,4,0,0,Intel,1.4,Budget,14332.32,16581.353676856936,2249.033676856936,16419.691112491826,2087.3711124918264
